suhu,curah_hujan,kelembaban,ph_tanah,nitrogen,fosfor,kalium,hasil_panen
26.8,905.2,66.9,6.12,54.3,37.2,112.2,2.791
28.3,794.4,71.3,5.84,10.5,43.1,55.5,2.538
30.0,416.2,68.5,6.37,31.4,20.3,91.2,2.161
32.8,845.0,77.1,5.8,68.9,12.0,10.0,2.533
24.3,902.6,79.6,6.7,25.4,14.4,125.1,2.372
34.4,889.9,62.1,6.43,35.7,22.7,27.5,3.01
22.1,1020.2,56.7,5.82,54.2,24.7,150.1,2.676
27.5,958.5,51.6,6.28,60.7,18.5,76.8,2.934
29.8,864.8,75.1,6.1,40.0,10.6,81.5,2.533
28.8,732.5,59.0,6.53,33.0,23.2,64.9,2.617
26.1,334.8,48.5,6.94,73.4,32.7,78.5,2.428
27.4,857.4,73.9,5.65,79.8,38.9,146.7,2.985
26.5,801.9,94.9,6.45,64.6,21.6,10.0,2.488
26.2,817.9,69.9,6.34,46.7,23.8,141.1,2.759
30.5,430.8,78.4,6.67,28.8,16.1,103.5,2.214
29.1,479.7,70.8,6.49,28.4,29.5,41.7,2.258
25.9,1013.3,69.0,6.1,55.5,17.3,47.0,2.741
30.7,740.1,79.2,6.27,53.4,38.6,157.1,2.743
28.9,920.4,67.1,6.08,73.0,3.2,52.2,2.872
30.4,757.1,72.7,6.83,58.0,24.6,43.9,2.417
29.9,757.4,73.2,6.41,14.9,34.5,135.5,2.429
25.5,984.6,63.3,7.16,66.0,32.8,103.5,2.516
26.3,621.0,79.9,6.38,25.0,70.4,52.5,2.001
30.2,774.0,68.3,6.12,37.3,35.2,98.7,2.403
29.8,634.4,62.4,5.79,50.0,14.9,49.0,2.496
27.9,641.4,75.4,5.68,84.9,28.6,134.0,2.354
28.4,672.7,61.0,5.77,107.2,3.4,132.5,2.768
31.8,805.5,70.3,6.51,57.1,28.8,111.3,2.862
26.2,630.3,69.9,6.6,41.3,17.5,104.5,1.924
29.6,1063.9,80.9,5.77,55.7,43.7,160.4,3.294
27.4,526.3,74.7,6.76,62.8,21.8,90.0,2.557
27.3,703.3,69.7,6.21,38.6,28.2,42.7,2.227
31.3,640.1,78.2,6.46,80.9,20.5,108.0,2.776
30.5,1111.7,83.9,7.04,49.6,56.1,173.4,3.03
30.4,799.1,75.6,6.76,55.0,25.2,49.4,2.745
31.9,1008.0,70.1,6.29,58.3,57.5,75.5,2.783
28.1,378.6,56.9,6.04,53.4,42.2,106.7,1.768
30.0,816.8,59.3,5.54,61.8,37.2,87.8,2.669
27.1,972.4,66.9,6.11,32.7,35.5,50.7,2.764
29.0,770.6,63.9,6.32,33.8,35.9,134.9,2.608
27.6,1016.4,68.1,6.01,23.0,2.0,182.8,2.624
28.3,620.7,70.6,6.35,53.8,25.8,97.8,2.395
29.8,1102.3,75.3,6.43,60.6,42.7,53.8,3.185
25.5,1324.7,69.3,6.31,54.2,29.3,28.0,3.179
34.3,659.3,74.9,6.14,78.5,8.9,100.3,2.783
25.0,638.6,70.6,6.47,44.9,29.2,134.2,2.28
24.4,1113.3,50.2,6.58,58.4,55.6,109.0,3.331
31.5,1144.9,60.6,5.96,23.2,48.7,89.9,2.872
30.4,619.3,68.6,6.96,37.3,29.1,66.4,2.604
29.9,645.0,57.9,6.36,58.9,44.3,46.3,2.855
29.9,679.6,76.0,6.41,62.0,24.5,123.4,2.777
28.0,413.9,85.3,6.68,39.1,4.4,126.6,2.153
25.3,520.3,82.2,6.49,43.6,16.1,28.2,2.055
28.2,499.0,67.9,6.78,14.6,53.4,153.6,2.618
26.0,558.1,84.9,6.51,37.9,25.9,113.0,1.986
30.9,741.3,71.5,6.16,62.8,26.3,146.0,2.533
27.6,808.6,66.6,6.54,56.5,25.5,36.3,2.549
25.5,1137.6,63.9,5.94,55.0,58.6,35.4,3.31
27.0,500.4,67.0,6.44,46.0,54.4,84.0,2.425
29.2,996.1,66.1,6.39,45.1,63.3,110.1,2.784
26.3,696.5,71.7,6.32,31.8,27.6,161.9,2.47
25.5,737.6,71.6,6.35,59.0,34.4,118.2,2.442
28.7,918.7,70.0,5.65,53.4,7.3,80.3,2.607
28.7,469.3,74.4,6.18,54.8,52.2,48.9,2.555
26.5,845.6,81.9,6.44,34.5,12.5,139.2,2.356
26.6,791.6,79.5,6.46,5.0,33.3,51.4,2.924
28.7,873.1,55.2,5.99,66.9,13.5,155.1,3.064
23.7,822.3,44.5,6.91,35.4,21.2,78.6,2.796
23.8,1363.8,79.3,6.05,27.7,17.4,153.6,3.112
25.8,590.6,56.3,6.79,58.9,20.9,117.2,2.362
27.4,617.3,67.8,6.57,37.2,21.9,84.5,2.058
28.9,594.2,58.3,6.14,66.2,21.8,69.2,2.33
32.4,611.1,52.0,7.11,57.3,42.5,76.4,2.718
30.6,590.7,75.4,5.92,58.7,13.4,107.1,2.831
27.5,1047.3,77.6,6.77,17.7,33.3,93.1,2.635
27.9,1105.1,64.2,6.8,69.2,48.3,66.2,2.999
25.0,607.3,44.1,6.13,50.2,22.3,83.4,2.305
27.9,541.9,64.5,6.96,37.6,19.2,93.1,1.977
27.1,867.9,73.9,6.3,47.9,26.5,10.0,2.803
29.0,611.9,55.2,6.52,9.5,47.7,108.3,2.286
25.5,908.2,71.8,6.5,53.2,32.9,50.8,2.678
29.6,800.7,69.8,6.35,24.4,22.0,43.9,2.519
32.6,371.1,75.8,6.72,17.9,37.3,22.5,1.994
27.7,1136.9,71.2,6.72,14.6,13.5,18.2,2.915
29.2,1199.0,60.3,5.7,67.3,40.2,35.8,3.117
30.1,596.8,82.0,6.92,32.4,36.1,61.6,2.351
26.8,653.1,68.4,5.74,75.7,25.4,168.1,2.39
28.7,821.5,69.7,6.81,34.3,17.4,69.0,2.74
28.0,833.6,60.7,6.85,10.9,16.7,97.1,3.045
28.3,914.6,65.6,5.96,22.7,38.0,106.0,2.828
25.7,1252.6,61.2,6.24,69.7,48.4,95.2,3.482
28.1,705.8,68.3,5.96,41.9,20.4,86.9,2.182
29.5,550.4,87.1,6.31,34.0,36.9,42.2,2.406
32.4,405.2,56.3,6.28,48.2,2.0,148.0,2.085
30.9,567.3,53.9,6.71,55.0,21.2,162.3,2.197
34.5,741.7,84.7,6.92,67.3,29.5,22.7,2.586
25.7,1198.6,67.9,6.96,74.0,16.4,49.0,3.371
30.6,620.6,63.3,6.18,37.8,16.0,78.8,2.728
28.6,805.9,80.4,6.32,18.5,20.0,51.4,2.66
34.6,745.9,63.9,5.73,36.7,34.4,110.2,2.412
25.6,1047.1,88.3,6.08,50.2,27.2,60.9,2.822
25.5,1381.7,76.8,6.79,25.7,2.0,176.6,3.38
26.2,617.3,65.1,7.05,25.9,2.0,137.6,2.401
21.6,627.6,91.6,5.91,51.9,20.9,98.5,1.809
26.4,1011.0,63.9,6.16,44.0,36.9,131.1,2.705
25.7,920.5,77.4,6.39,45.7,2.0,134.2,2.748
28.5,1211.7,73.0,6.51,29.8,22.5,67.4,3.268
29.0,896.0,83.0,6.08,40.4,22.1,57.4,2.212
33.6,660.2,85.6,6.57,26.5,50.8,93.1,2.644
30.9,897.7,70.3,6.21,62.8,24.2,124.5,2.977
26.3,1027.2,62.5,6.39,65.7,35.7,95.6,3.174
25.3,955.1,74.6,6.62,8.1,32.1,26.9,2.829
29.5,876.8,63.2,6.4,26.4,2.0,57.9,2.857
24.0,1016.7,90.1,6.23,15.1,41.5,87.0,2.571
33.5,1042.3,71.4,6.36,32.0,33.2,87.0,2.638
31.5,1095.5,66.3,6.36,43.3,37.6,168.9,3.131
26.6,912.2,71.8,6.25,16.0,88.9,34.6,2.995
22.9,708.2,56.5,6.3,26.6,2.0,110.2,2.707
32.1,786.7,60.3,7.04,24.9,55.9,149.6,3.006
27.7,1051.6,82.0,6.62,49.1,25.7,180.9,3.177
31.7,545.8,63.4,6.28,46.4,34.3,73.8,2.573
23.2,842.2,59.5,6.68,30.6,29.3,109.7,2.438
26.2,651.7,75.4,6.27,48.5,23.6,112.8,2.434
28.0,757.2,81.9,6.87,34.1,21.5,97.8,3.011
28.1,1069.6,77.2,6.55,39.6,34.9,86.0,2.771
26.6,797.8,80.0,6.36,78.5,7.2,107.4,3.092
29.9,761.6,62.4,6.58,71.8,41.3,10.0,2.607
24.8,410.0,55.8,5.77,19.0,23.8,117.3,2.387
27.6,936.6,85.0,5.95,61.6,13.0,95.0,2.475
28.4,911.4,66.8,5.92,61.2,23.2,81.1,2.966
29.5,1290.8,67.5,6.46,22.0,48.9,171.9,3.202
30.1,673.1,83.3,7.09,61.4,22.0,63.0,2.211
24.6,804.8,75.6,7.29,75.8,35.4,73.9,2.662
23.4,812.3,74.6,6.66,22.5,19.0,169.7,2.829
31.8,1144.4,91.7,6.6,26.6,41.4,56.7,2.948
29.0,726.2,63.6,5.68,65.4,40.3,68.0,2.25
25.8,819.8,79.3,6.18,50.4,57.7,84.1,2.655
32.7,902.0,70.6,6.08,56.0,27.4,123.6,2.962
28.3,796.7,72.7,6.15,51.8,40.0,98.3,2.852
31.5,638.4,85.3,6.33,52.8,31.5,38.3,2.796
28.2,798.5,75.1,6.21,18.5,49.4,68.7,2.62
34.2,1018.4,75.4,5.61,65.9,19.2,65.7,3.559
33.3,493.4,80.7,6.7,68.4,41.2,86.9,2.588
27.3,783.2,66.4,5.97,40.4,27.1,107.0,2.539
30.9,575.0,61.6,6.5,44.1,29.0,106.7,2.118
29.9,1048.8,59.6,7.23,14.4,31.4,19.0,2.813
32.1,369.2,50.3,6.03,55.3,33.8,132.6,2.257
25.1,610.3,90.6,5.5,56.4,28.3,100.1,2.596
30.1,844.3,59.0,6.29,43.8,33.2,145.4,2.969
31.2,1141.4,67.8,6.84,67.5,53.7,107.8,2.982
22.7,733.6,67.2,7.18,38.3,44.8,134.1,2.513
24.5,611.2,73.1,5.91,56.3,43.0,108.7,2.558
21.9,1220.3,78.2,6.6,24.6,23.2,143.8,3.391
